"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Cesar","Antonio Belo","cesar.antoniobelo@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Sebastiao","da Costa Belo","sebastiao.dacostabelo@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Paulino","de Deus Gomes","paulino.dedeusgomes@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Apolinario","Pereira","apolinario.pereira@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Emidia","da Costa Lopes","emidia.dacostalopes@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Ms.","Mónica","Freitas","monica.freitas@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Celestino","Caldeira","celestino.caldeira@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Adelino","Magno Freitas","adelino.magnofreitas@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Lucas","Bosco  Soares","lucas.boscosoares@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Hermengildo","da Costa Mariz","hermengildo.dacostamariz@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-16","2011-12-16",4,"Mr.","Johanes","Marques","johanes.marques@hotmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-08","2011-12-08",8,"Mr.","Noti","F. Branco","noti.f.branco@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Baucau Branch Office","2011-12-08","2011-12-08",8,"Ms.","Joana","Pinto","joana.pinto@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Natalino","Amaral","natalino.amaral@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Ms.","Clàudia","Gohan","claudia.gohan@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Ms.","Mariano","Rodriques","mariano.rodriques@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Manuel","Jose da C.","manuel.josedac@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Afonso","Batuca","afonso.batuca@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Goku","Aparicio","goku.aparicio@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Ms.","Alexandra","Direitinho","alexandra.direitinho@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Ms.","Sirilia","Vicente","sirilia.vicente@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Nilton","Salsinha Barreto","nilton.salsinhabarreto@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Mr.","Marcos","Fernandes Baptista","marcos.fernandesbaptista@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-18","2011-11-19",16,"Ms.","Juliana","Barreto","juliana.barreto@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Kevin","Ojeda","kevin.ojeda@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Ruben","de Oliveira","ruben.deoliveira@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Luis","Jose","luis.jose@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Catarina","Chilro","catarina.chilro@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Ms.","Meliana","Uva","meliana.uva@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Julio","Adevinha","julio.adevinha@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Lino","Pala","lino.pala@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Ms.","Abril","Otilia","abril.otilia@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Augusto","Polainos","augusto.polainos@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Apolonius","Saboga","apolonius.saboga@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Erculano","Noel Sila","erculano.noelsila@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Bobonaro Branch Office","2011-11-24","2011-11-24",4,"Mr.","Eduarda","Quefi","eduarda.quefi@hotmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Bobonaro Branch Office","2012-01-04","2012-01-04",8,"Ms.","Manuela","Salvador","manuela.salvador@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Bobonaro Branch Office","2012-01-04","2012-01-04",8,"Mr.","Guido","dos Santos Barros","guido.dossantosbarros@gmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Bobonaro Branch Office","2012-01-04","2012-01-04",8,"Mr.","Joao","Salsinha Barreto","joao.salsinhabarreto@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Ms.","Beatriz","Albuquequer","beatriz.albuquequer@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Mr.","Andreia","Gorette","andreia.gorette@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Mr.","Erculano","Paulo","erculano.paulo@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Ms.","Vanessa","Rafael","vanessa.rafael@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Mr.","Agusto","Quefi","agusto.quefi@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Mr.","Miguel","Nunes","miguel.nunes@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Mr.","Josefa","Diamentino","josefa.diamentino@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-18","2012-03-19",16,"Ms.","Mafalda","Cabecinhas","mafalda.cabecinhas@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Ms.","Daniela","Moniz","daniela.moniz@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Clementino","de Almeida","clementino.dealmeida@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Angelino","Jaelani","angelino.jaelani@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Mario","Brites","mario.brites@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Justiano","Gorette","justiano.gorette@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Ms.","Adriana","Mondego","adriana.mondego@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Aleixo","Batuca","aleixo.batuca@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Afonso","Belo","afonso.belo@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Ms.","Liliana","Goveia Leite","liliana.goveialeite@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Ms.","Sirilia","Fatima Rebelo","sirilia.fatimarebelo@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Basilio","Baptista","basilio.baptista@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","George","de Oliveira","george.deoliveira@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Kevin","Uva","kevin.uva@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Ms.","Xanana","Marques","xanana.marques@yahoo.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ermera Branch Office","2012-03-04","2012-03-04",4,"Mr.","Venancio","Xareal","venancio.xareal@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Ermera Branch Office","2012-02-14","2012-02-14",8,"Mr.","Noti","da Costa Oliveira","noti.dacostaoliveira@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Ermera Branch Office","2012-02-14","2012-02-14",8,"Mr.","Lourenco","Albuquequer","lourenco.albuquequer@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Ermera Branch Office","2012-02-14","2012-02-14",8,"Mr.","Donato","Polainos","donato.polainos@gmail.com"
"Shelter Management","Timor-Leste Red Cross Society","Ermera Branch Office","2012-02-14","2012-02-14",8,"Mr.","Tomas","Fahik Batak","tomas.fahikbatak@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Abrao","Moio","abrao.moio@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Ms.","Manuela","Belo","manuela.belo@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Felix","Soares","felix.soares@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Alvaro","Matos","alvaro.matos@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Ms.","Sofia","Godinho","sofia.godinho@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Agostinho","Rente","agostinho.rente@yahoo.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Quito","Bercamns","quito.bercamns@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Vidiana","Albuquequer","vidiana.albuquequer@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Ms.","Beatriz","Maia","beatriz.maia@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Ms.","Jessica","Mali Mau","jessica.malimau@gmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Ms.","Margarida","Idalina","margarida.idalina@hotmail.com"
"Basics of First Aid","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-04-08","2012-04-09",16,"Mr.","Goku","Martins","goku.martins@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Ms.","Joaquim","Barreto","joaquim.barreto@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Sandra","Chilro","sandra.chilro@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Moises","Cabecinhas","moises.cabecinhas@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Ms.","Meliana","Hugo","meliana.hugo@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Ms.","Sofia","Duarte","sofia.duarte@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Custodio","Liub","custodio.liub@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Lucas","Bercamns","lucas.bercamns@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Ms.","Graciano","Gorette","graciano.gorette@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Martinho","Diamentino","martinho.diamentino@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Sebastiao","Cabecinhas","sebastiao.cabecinhas@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Ms.","Meliana","da Silva","meliana.dasilva@gmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Cipriano","Polainos","cipriano.polainos@hotmail.com"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-01-16","2012-01-16",4,"Mr.","Hermengildo","Moises","hermengildo.moises@yahoo.com"
"Shelter Management","Timor-Leste Red Cross Society","Liquiçá Branch Office","2012-02-19","2012-02-19",8,"Mr.","Edilirio","de Carvalho","edilirio.decarvalho@hotmail.com"
